,t,stimstate,Qm,Vm,"('m', 'NapEt2')","('h', 'NapEt2')","('m', 'NaTat')","('h', 'NaTat')","('m', 'KPst')","('h', 'KPst')","('m', 'KTst')","('h', 'KTst')","('m', 'SKv31')",Cm,iax
0,0.0,0.0,-0.00075,-85.73559945926456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008747824762762015,173980616.28191915
1,0.0,0.0,-0.00075,-85.73559945926456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008747824762762015,173980616.28191915
2,2.5e-05,0.0,-5.643853305019469e-05,-85.73559945926456,7.616509541034971e-08,4.94896490642718e-09,7.616509541034971e-08,7.68741625657831e-06,7.268967734948297e-09,9.54320185787394e-08,1.3779469243921372e-06,1.2216296164019681e-06,4.520570157460271e-10,0.0006582858626539406,173980616.28191915
3,5e-05,1.0,-0.00030455863830637295,-8.520000940705987,0.00013529932608531507,5.076800656237885e-09,0.00013529932608531507,7.688947960048722e-06,3.850760181910158e-06,9.65743460346413e-08,9.240319200280193e-05,1.2363528779693345e-06,5.304590484716362e-07,0.03574631510323947,404763.73774922214
4,7.5e-05,1.0,-0.00034454034363409216,-45.84791919640989,0.000164472877025368,7.196147471446327e-09,0.000164472877025368,8.686547386595396e-06,4.2925857504327995e-06,1.1827396407362369e-07,0.00011248288889888662,1.6183632129890397e-06,5.746638200315203e-07,0.0075148523569434165,1598891.2460222207
5,9.999999999999999e-05,1.0,-0.0004218477920197733,-51.8246829427787,0.00018712447968248654,9.728136571274906e-09,0.00018712447968248654,1.0569695492589467e-05,4.606457267632587e-06,1.494078003617761e-07,0.00012849270483031425,2.0975035874002826e-06,6.058560242860352e-07,0.008139901067712254,1742792.0377240535
6,0.00012499999999999998,1.0,-0.00047227296590232056,-63.33572684898481,0.00020028510703767587,1.307228525391481e-08,0.00020028510703767587,1.4919459928693962e-05,4.7647054505606185e-06,2.0821259088416153e-07,0.00013890379001798466,2.9249929342039845e-06,6.219910222242789e-07,0.007456659762165348,2084648.9491416893
7,0.00015,1.0,3.450824401081153e-05,-70.80663736499073,0.00020907237005315428,1.6950032286301272e-08,0.00020907237005315428,2.115489909231022e-05,4.864671553150459e-06,3.032694557569665e-07,0.00014679813153883865,4.313234827487683e-06,6.325772973295169e-07,-0.00048735888745754237,2308970.019874895
8,0.00017500000000000003,1.0,-0.00019174951120284105,5.209712267291434,0.00040576981925633887,1.6964247392599144e-08,0.00040576981925633887,2.1154531782998158e-05,1.2396512027784358e-05,3.036739481689782e-07,0.0002924496230535033,4.316789348497525e-06,2.2809618275682926e-06,-0.036806161523874906,49942.23110368118
9,0.00020000000000000004,1.0,-0.0001903941613394896,-28.91631377252913,0.0004652751533667192,1.798507673736574e-08,0.0004652751533667192,2.1228048789364287e-05,1.354576862740279e-05,3.0954101289581593e-07,0.0003315380290349996,4.470127828620628e-06,2.4051378371680378e-06,0.006584316480905202,1037735.5987537445
10,0.00022500000000000008,1.0,-0.0002448799986184226,-28.712417109875673,0.0005253012953217747,1.8993569412192427e-08,0.0005253012953217747,2.1298635437194675e-05,1.4708027184413671e-05,3.153041223508766e-07,0.00037094043812222084,4.62053830689713e-06,2.5308790212044947e-06,0.008528714168553778,1030151.5268167707
11,0.00025000000000000006,1.0,-0.00013546940460319398,-36.9017410785821,0.0005674539893970959,2.0515624806929516e-08,0.0005674539893970959,2.1585196186584757e-05,1.5439273095132167e-05,3.266237533816079e-07,0.0003993008548047713,4.887408357201297e-06,2.6063440136444754e-06,0.0036710843619739367,1274760.173016731
12,0.00027500000000000007,1.0,-0.00022191150824772481,-20.440868551777573,0.0006537913903508763,2.1065358628223964e-08,0.0006537913903508763,2.1600247688991984e-05,1.7325683084280828e-05,3.295432865319611e-07,0.0004549093365044085,4.9479828922345715e-06,2.8246739101630774e-06,0.010856266096795922,786628.7673399026
13,0.0003000000000000001,1.0,-0.00018973889015065436,-33.45177597617683,0.0007025713461964615,2.2366191034949964e-08,0.0007025713461964615,2.1762878474378896e-05,1.821390468695205e-05,3.380973644229269e-07,0.00048742082075808196,5.167282494056474e-06,2.9179502871965955e-06,0.005672012460139027,1170742.6194089479
14,0.00032500000000000015,1.0,-0.00026272973189567407,-28.613825145584304,0.00076284172935267,2.3368766881213083e-08,0.00076284172935267,2.183216831817718e-05,1.938267420279688e-05,3.43812587087277e-07,0.0005269618948851143,5.3162991031348214e-06,3.0444779969210052e-06,0.009181915754322648,1026545.1523315641
