,t,stimstate,Qm,Vm,"('m', 'NapEt2')","('h', 'NapEt2')","('m', 'NaTat')","('h', 'NaTat')","('m', 'KPst')","('h', 'KPst')","('m', 'KTst')","('h', 'KTst')","('m', 'SKv31')",Cm,iax
0,0.0,0.0,-0.00075,-85.73559945926456,0.0005142903625142076,0.9997757387269487,0.0005142903625142076,0.9640587500258815,0.0019695737356224628,0.878250220057886,0.01823365675088339,0.7258285015717265,2.1092822561138442e-05,0.008747824762762015,173980616.28191915
1,0.0,0.0,-0.00075,-85.73559945926456,0.0005142903625142076,0.9997757387269487,0.0005142903625142076,0.9640587500258815,0.0019695737356224628,0.878250220057886,0.01823365675088339,0.7258285015717265,2.1092822561138442e-05,0.008747824762762015,173980616.28191915
2,2.5e-05,0.0,-5.6306053024341664e-05,-85.73559945926456,0.0005142903625142076,0.9997757387269487,0.0005142903625142076,0.9640587500258815,0.0019695737356224628,0.878250220057886,0.01823365675088339,0.7258285015717265,2.1092822561138442e-05,0.0006567406465863026,173980616.28191915
3,5e-05,1.0,-0.00030451736136962137,-8.500005315081392,0.0006495312751976984,0.9997757290305033,0.0006495312751976984,0.9640379611650493,0.0019734080526180907,0.8782500689168421,0.018321572319240347,0.7258199195266758,2.16235035344699e-05,0.03582554952398938,404393.3216871287
4,7.5e-05,1.0,-0.00034473093643259397,-45.84174157852071,0.0006786745194196391,0.9997757255560717,0.0006786745194196391,0.964029748474851,0.001973843581076475,0.8782500053076463,0.018339771087000453,0.7258149530282688,2.1667451357385113e-05,0.007520022681557952,1598705.7803767805
5,9.999999999999999e-05,1.0,-0.00042242321527748134,-51.853137887794645,0.0007012564481369428,0.9997757226203088,0.0007012564481369428,0.9640228818465688,0.0019741504235707454,0.8782499523179433,0.018353977082293665,0.7258105276623568,2.169829514443007e-05,0.00814653138623097,1743658.9718367048
6,0.00012499999999999998,1.0,-0.00047660772593507235,-63.421137827647414,0.0007143086677075321,0.9997757203859327,0.0007143086677075321,0.9640178933452933,0.0019743007075271944,0.8782499163038071,0.018362684038175633,0.725806969628822,2.17139959048756e-05,0.0075149664963485244,2087272.865110695
7,0.00015,1.0,2.0572179122415873e-05,-71.44731397895876,0.0007227201852997981,0.9997757185868836,0.0007227201852997981,0.964013920580178,0.001974388760013138,0.8782498917515211,0.01836874387219426,0.7258041804907278,2.1723795139485452e-05,-0.0002879349548182369,2328790.243793759
8,0.00017500000000000003,1.0,-0.00019624093587296623,3.105863403733448,0.0009098002938027025,0.9997757068772476,0.0009098002938027025,0.9639889385296572,0.001981273670553757,0.8782497077219935,0.018501983035447,0.7257955862440815,2.311128428711272e-05,-0.06318402014624082,111291.99965603383
9,0.00020000000000000004,1.0,-0.00018831871745925505,-29.591996506235553,0.0009675296735985672,0.9997757008392213,0.0009675296735985672,0.9639756997767236,0.0019823713486194516,0.8782496114396267,0.018537717472082223,0.7257879825597039,2.323004716663474e-05,0.006363839540856022,1058494.3038100963
10,0.00022500000000000008,1.0,-0.00024339024467919,-28.400100406839783,0.0010283719318047795,0.9997756945946263,0.0010283719318047795,0.9639620454746052,0.0019835463908132365,0.8782495125645586,0.01857530072743377,0.7257801999180092,2.335819053754645e-05,0.008570048739002793,1021199.2455445717
11,0.00025000000000000006,1.0,-0.0001330055219801632,-36.678087226245324,0.0010708849194443185,0.99977568977512,0.0010708849194443185,0.9639511893195019,0.001984279585567586,0.878249431023628,0.01860182277441033,0.7257738957102787,2.3434442934972947e-05,0.0036262938456886034,1268178.2275783096
