,t,stimstate,Qm,Vm,"('m', 'NapEt2')","('h', 'NapEt2')","('m', 'NaTat')","('h', 'NaTat')","('m', 'KPst')","('h', 'KPst')","('m', 'KTst')","('h', 'KTst')","('m', 'SKv31')",Cm,iax
0,0.0,0.0,-0.00075,-85.73559945926456,0.0005142903625142076,0.9997757387269487,0.0005142903625142076,0.9640587500258815,0.0019695737356224628,0.878250220057886,0.01823365675088339,0.7258285015717265,2.1092822561138442e-05,0.008747824762762015,
1,0.0,0.0,-0.00075,-85.73559945926456,0.0005142903625142076,0.9997757387269487,0.0005142903625142076,0.9640587500258815,0.0019695737356224628,0.878250220057886,0.01823365675088339,0.7258285015717265,2.1092822561138442e-05,0.008747824762762015,
2,2.5e-05,0.0,-5.6306053024341664e-05,-85.73559945926456,0.0005142903625142076,0.9997757387269487,0.0005142903625142076,0.9640587500258815,0.0019695737356224628,0.878250220057886,0.01823365675088339,0.7258285015717265,2.1092822561138442e-05,0.0006567406465863026,
3,5e-05,1.0,-0.0003045173613696212,-8.500005315081392,0.0006495312751976984,0.9997757290305033,0.0006495312751976984,0.9640379611650493,0.0019734080526180907,0.8782500689168421,0.018321572319240347,0.7258199195266758,2.16235035344699e-05,0.035825549523989364,
4,7.5e-05,1.0,-0.0003447309364325935,-45.84174157852069,0.0006786745194196391,0.9997757255560717,0.0006786745194196391,0.964029748474851,0.001973843581076475,0.8782500053076463,0.018339771087000453,0.7258149530282688,2.1667451357385113e-05,0.007520022681557944,
5,9.999999999999999e-05,1.0,-0.00042242321527748166,-51.853137887794574,0.000701256448136943,0.9997757226203088,0.000701256448136943,0.9640228818465688,0.0019741504235707454,0.8782499523179433,0.018353977082293665,0.7258105276623568,2.169829514443007e-05,0.008146531386230987,
6,0.00012499999999999998,1.0,-0.00047660772593508015,-63.421137827647456,0.0007143086677075321,0.9997757203859327,0.0007143086677075321,0.9640178933452933,0.0019743007075271944,0.8782499163038071,0.018362684038175633,0.725806969628822,2.17139959048756e-05,0.007514966496348642,
7,0.00015,1.0,2.057217912240266e-05,-71.44731397895991,0.0007227201852997974,0.9997757185868836,0.0007227201852997974,0.964013920580178,0.001974388760013138,0.8782498917515211,0.01836874387219426,0.7258041804907278,2.1723795139485452e-05,-0.00028793495481804727,
8,0.00017500000000000003,1.0,-0.00019624093587296274,3.105863403731453,0.0009098002938027018,0.9997757068772476,0.0009098002938027018,0.9639889385296572,0.0019812736705537566,0.8782497077219935,0.018501983035446923,0.7257955862440815,2.3111284287112466e-05,-0.06318402014628027,
9,0.00020000000000000004,1.0,-0.00018831871745925876,-29.59199650623503,0.0009675296735985673,0.9997757008392213,0.0009675296735985673,0.9639756997767236,0.001982371348619451,0.8782496114396267,0.018537717472082146,0.7257879825597039,2.3230047166634493e-05,0.006363839540856259,
10,0.00022500000000000008,1.0,-0.00024339024467918998,-28.40010040684034,0.0010283719318047787,0.9997756945946263,0.0010283719318047787,0.9639620454746052,0.001983546390813236,0.8782495125645586,0.018575300727433693,0.7257801999180092,2.3358190537546196e-05,0.008570048739002625,
11,0.00025000000000000006,1.0,-0.0001330055219801584,-36.678087226245324,0.0010708849194443176,0.99977568977512,0.0010708849194443176,0.9639511893195019,0.0019842795855675856,0.878249431023628,0.018601822774410255,0.7257738957102787,2.3434442934972693e-05,0.0036262938456884724,
12,0.00027500000000000007,1.0,-0.0002212747243182405,-20.069516595422584,0.0011585374072788676,0.9997756820856218,0.0011585374072788676,0.9639345731067024,0.0019861975393302062,0.8782493124209156,0.01865565390540266,0.7257654476618098,2.365821308949779e-05,0.011025413754544959,
13,0.0003000000000000001,1.0,-0.00018819687328050627,-33.356092407789355,0.0012074791902336535,0.9997756766985105,0.0012074791902336535,0.9639226246703769,0.0019870826284251386,0.8782492240903209,0.01868610792814956,0.7257585107939714,2.3751795645783453e-05,0.005642053960629942,
14,0.00032500000000000015,1.0,-0.00026172376709969247,-28.381763823247994,0.0012683547163829575,0.9997756704507366,0.0012683547163829575,0.9639089646849163,0.001988258928958035,0.8782491251747043,0.01872370223558263,0.725750726047122,2.3880090528789558e-05,0.009221546931671315,
15,0.00035000000000000016,1.0,-0.00020622687180800074,-39.429510307804875,0.0013062446779765636,0.9997756660859726,0.0013062446779765636,0.9638989697464241,0.001988885683898737,0.8782490491520515,0.018747345034437587,0.7257449045139321,2.394454591404267e-05,0.0052302671323609905,
